Id,LotArea,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SaleCondition,SalePrice
215,10900,CollgCr,1Fam,2Story,1977,1977,1392,3,1,TA,0,NA,Attchd,1977,1,299,2010,Normal,161750
216,10011,NAmes,1Fam,1Story,1957,1996,1236,2,1,Gd,1,Fa,Attchd,1957,1,447,2006,Normal,134450
217,8450,CollgCr,1Fam,1Story,2004,2004,1436,3,1,Gd,0,NA,Attchd,2004,2,484,2008,Normal,210000
218,9906,OldTown,1Fam,2Story,1925,1950,1328,3,1,TA,0,NA,Detchd,1940,1,210,2006,Family,107000
219,15660,Crawfor,1Fam,1.5Fin,1939,2006,1954,3,1,Gd,2,TA,Attchd,1939,2,431,2008,Normal,311500
220,3010,Blmngtn,TwnhsE,1Story,2005,2006,1248,2,1,Gd,0,NA,Attchd,2005,2,438,2006,Partial,167240
221,8990,CollgCr,1Fam,1Story,2006,2006,1498,2,1,Gd,0,NA,Attchd,2006,2,675,2006,Partial,204900
222,8068,Gilbert,1Fam,2Story,2002,2002,2267,4,1,Gd,1,TA,BuiltIn,2002,2,390,2009,Normal,200000
223,11475,NWAmes,1Fam,2Story,1975,1975,1552,3,1,TA,1,TA,Attchd,1975,2,434,2006,Normal,179900
224,10500,NAmes,1Fam,1Story,1971,1971,864,2,1,TA,0,NA,Detchd,1989,2,576,2009,Abnorml,97000
225,13472,NridgHt,1Fam,1Story,2003,2003,2392,3,1,Ex,1,Ex,Attchd,2003,3,968,2009,Normal,386250
226,1680,BrDale,Twnhs,2Story,1971,1971,1302,3,1,TA,0,NA,Detchd,1991,1,280,2009,Abnorml,112000
227,9950,NoRidge,1Fam,2Story,1995,1995,2520,4,1,Gd,1,TA,Attchd,1995,3,721,2007,Abnorml,290000
228,1869,BrDale,Twnhs,2Story,1970,1970,987,2,1,TA,0,NA,Detchd,1987,1,280,2008,Normal,106000
229,8521,Sawyer,1Fam,1Story,1967,1967,912,3,1,TA,1,Fa,Detchd,1974,1,336,2010,Normal,125000
230,3182,Blmngtn,TwnhsE,1Story,2005,2006,1555,2,1,Gd,1,TA,Attchd,2005,2,430,2009,Normal,192500
231,8760,NAmes,1Fam,1Story,1959,1959,1194,3,1,TA,0,NA,Attchd,1959,1,312,2010,Normal,148000
232,15138,NoRidge,1Fam,2Story,1995,1996,2794,4,1,Ex,1,TA,Attchd,1995,3,810,2009,Normal,403000
233,1680,BrDale,Twnhs,2Story,1972,1972,987,2,1,TA,1,Po,Attchd,1972,1,288,2006,Normal,94500
234,10650,CollgCr,1Fam,1Story,1976,1976,894,3,1,TA,0,NA,Attchd,1976,1,308,2010,Normal,128200
235,7851,Gilbert,1Fam,2Story,2002,2002,1960,4,1,Gd,2,TA,BuiltIn,2002,2,440,2010,Normal,216500
236,1680,BrDale,TwnhsE,2Story,1971,1971,987,2,1,TA,0,NA,Detchd,1971,1,264,2008,Normal,89500
237,8773,CollgCr,1Fam,1Story,2004,2004,1414,3,1,Gd,0,NA,Attchd,2004,2,494,2010,Normal,185500
238,9453,SawyerW,1Fam,2Story,1993,2003,1744,3,1,Gd,0,NA,Attchd,1993,2,457,2010,Normal,194500
239,12030,NridgHt,1Fam,1Story,2007,2007,1694,3,1,Gd,0,NA,Attchd,2007,3,818,2007,Partial,318000
240,8741,Edwards,1Fam,1.5Fin,1945,1950,1487,3,1,TA,1,Gd,Detchd,1949,1,220,2010,Normal,113000
241,9000,Somerst,1Fam,1Story,2008,2008,1566,3,1,Gd,0,NA,Attchd,2008,2,750,2010,Normal,262500
242,3880,OldTown,1Fam,1Story,1945,1997,866,2,1,Gd,0,NA,NA,NA,0,0,2007,Normal,110500
243,5000,OldTown,1Fam,1.5Fin,1900,1950,1440,3,1,TA,0,NA,Attchd,1940,1,352,2006,Normal,79000
244,10762,SawyerW,TwnhsE,2Story,1980,1980,1217,3,1,TA,1,TA,Attchd,1980,1,288,2009,Normal,120000
245,8880,SawyerW,1Fam,2Story,1994,2002,2110,3,1,Gd,2,Fa,Attchd,1994,2,463,2010,Normal,205000
246,10400,NWAmes,1Fam,1Story,1988,1988,1872,3,1,TA,1,TA,Attchd,1988,2,604,2006,Normal,241500
247,9142,OldTown,2fmCon,2Story,1910,1950,1928,4,2,Fa,0,NA,Detchd,1910,1,440,2006,Normal,137000
248,11310,NAmes,1Fam,1Story,1954,1954,1375,2,1,TA,1,TA,Attchd,1954,2,451,2006,Normal,140000
249,11317,CollgCr,1Fam,2Story,2003,2003,1668,3,1,Gd,0,NA,Attchd,2003,2,500,2007,Normal,180000
250,159000,ClearCr,1Fam,1.5Fin,1958,2006,2144,4,1,Gd,2,TA,Attchd,1958,2,389,2007,Normal,277000
251,5350,BrkSide,1Fam,1Story,1940,1966,1306,3,1,Fa,0,NA,NA,NA,0,0,2010,Normal,76500
252,4750,Crawfor,TwnhsE,1Story,2006,2007,1625,2,1,Gd,1,Gd,Attchd,2006,2,538,2007,Family,235000
253,8366,SawyerW,1Fam,2Story,2004,2004,1640,3,1,Gd,0,NA,Attchd,2004,2,520,2008,Normal,173000
254,9350,NAmes,1Fam,SLvl,1964,1991,1302,3,1,Gd,0,NA,Attchd,1964,1,309,2007,Normal,158000
255,8400,NAmes,1Fam,1Story,1957,1957,1314,3,1,TA,0,NA,Attchd,1957,1,294,2010,Normal,145000
256,8738,Gilbert,1Fam,2Story,1999,1999,2291,4,1,Gd,1,TA,BuiltIn,1999,2,429,2006,Normal,230000
257,8791,Somerst,1Fam,2Story,2003,2003,1728,3,1,Gd,0,NA,Attchd,2003,2,673,2008,Normal,207500
258,8814,CollgCr,1Fam,1Story,2006,2006,1604,3,1,Gd,1,Gd,Attchd,2006,2,660,2009,Abnorml,220000
259,12435,CollgCr,1Fam,2Story,2001,2001,1792,3,1,Gd,1,TA,Attchd,2001,2,564,2008,Normal,231500
260,12702,OldTown,1Fam,1Story,1956,1956,882,2,1,TA,0,NA,Detchd,1956,1,308,2008,Normal,97000
261,19296,NAmes,1Fam,SLvl,1962,1962,1382,3,1,TA,1,TA,Attchd,1991,2,884,2009,Normal,176000
262,9588,CollgCr,1Fam,2Story,2007,2007,2574,3,1,Ex,1,Gd,BuiltIn,2007,3,868,2007,Partial,276000
263,8471,Sawyer,1Fam,SLvl,1977,1995,1212,3,1,TA,1,TA,Attchd,1978,2,492,2006,Normal,151000
264,5500,OldTown,1Fam,1.5Fin,1929,2001,1316,3,1,TA,0,NA,Detchd,1974,2,484,2010,Normal,130000
265,5232,OldTown,1Fam,1Story,1925,2004,764,2,1,TA,0,NA,Detchd,1965,2,504,2008,Normal,73000
266,12090,NWAmes,1Fam,1Story,1981,1981,1422,3,1,Gd,1,TA,Attchd,1981,2,576,2008,Normal,175500
267,11207,Gilbert,1Fam,2Story,1997,1997,1511,3,1,TA,1,TA,Attchd,1997,2,413,2006,Normal,185000
268,8400,SWISU,1Fam,2.5Fin,1939,1997,2192,4,1,Gd,1,Gd,Detchd,1939,1,240,2008,Normal,179500
269,6900,IDOTRR,1Fam,1Story,1940,1955,778,2,1,TA,1,Gd,Detchd,1966,1,924,2008,Normal,120500
270,7917,Edwards,1Fam,1Story,1976,1976,1113,3,1,TA,1,Fa,Attchd,1987,1,504,2007,Normal,148000
271,10728,Somerst,1Fam,2Story,2006,2006,1939,3,1,Gd,1,Gd,Attchd,2006,3,1053,2006,Partial,266000
272,39104,ClearCr,1Fam,1Story,1954,2005,1363,2,1,TA,2,TA,Attchd,1954,2,439,2008,Normal,241500
273,11764,NoRidge,1Fam,2Story,1999,2007,2270,4,1,Gd,1,Gd,Attchd,1999,3,671,2010,Normal,290000
274,9600,NAmes,1Fam,1Story,1958,1988,1632,3,1,TA,1,Gd,Attchd,1958,1,338,2009,Normal,139000
275,8314,Mitchel,1Fam,1Story,1982,1982,816,2,1,TA,0,NA,Attchd,1982,1,264,2007,Normal,124500
276,7264,BrkSide,1Fam,1.5Fin,1925,2007,1548,3,1,Ex,0,NA,Detchd,1978,2,672,2009,Normal,205000
277,9196,Mitchel,1Fam,1Story,2003,2003,1560,3,1,Gd,0,NA,Attchd,2003,2,573,2010,Normal,201000
278,19138,Gilbert,1Fam,1Story,1951,1951,864,2,1,TA,0,NA,Detchd,1951,2,400,2010,Normal,141000
279,14450,NridgHt,1Fam,1Story,2006,2007,2121,3,1,Ex,1,Ex,Attchd,2007,3,732,2007,Partial,415298
280,10005,ClearCr,1Fam,2Story,1977,1977,2022,4,1,TA,1,TA,Attchd,1977,2,505,2008,Normal,192000
281,11287,SawyerW,1Fam,2Story,1989,1989,1982,3,1,Gd,1,TA,Attchd,1989,2,575,2007,Normal,228500
282,7200,Somerst,1Fam,1Story,2006,2006,1262,2,1,Gd,0,NA,Attchd,2006,2,572,2006,Partial,185000
283,5063,NridgHt,Twnhs,1Story,2007,2008,1314,2,1,Gd,1,Gd,Attchd,2008,2,626,2009,Normal,207500
284,9612,Somerst,1Fam,1Story,2008,2009,1468,3,1,Gd,1,Gd,Attchd,2008,3,898,2009,Partial,244600
285,8012,SawyerW,TwnhsE,1Story,1992,1992,1575,2,1,Gd,0,NA,Attchd,1992,2,529,2007,Normal,179200
286,4251,Somerst,TwnhsE,2Story,2006,2007,1250,2,1,Gd,0,NA,Detchd,2006,2,528,2007,Partial,164700
287,9786,NAmes,1Fam,1.5Fin,1962,1981,1734,3,1,Gd,1,Gd,Attchd,1962,2,440,2006,Normal,159000
288,8125,NAmes,1Fam,1Story,1971,1971,858,3,1,TA,0,NA,NA,NA,0,0,2006,Normal,88000
289,9819,Sawyer,1Fam,1Story,1967,1967,900,3,1,TA,0,NA,Detchd,1970,1,280,2010,Normal,122000
290,8730,BrkSide,1Fam,2Story,1915,2003,1396,3,1,TA,0,NA,Detchd,2003,1,384,2007,Normal,153575
291,15611,CollgCr,1Fam,2Story,2006,2006,1919,3,1,Gd,1,Gd,Attchd,2006,2,685,2006,Partial,233230
292,5687,SWISU,2fmCon,2Story,1912,2000,1716,6,1,Fa,0,NA,NA,NA,0,0,2008,Normal,135900
293,11409,Edwards,1Fam,1.5Fin,1949,2008,1716,3,1,TA,1,Gd,Attchd,1949,1,281,2009,Normal,131000
294,16659,NWAmes,1Fam,2Story,1977,1994,2263,3,1,Gd,1,TA,Attchd,1977,2,539,2006,Normal,235000
295,9600,NAmes,1Fam,1Story,1953,1953,1644,3,1,TA,2,Gd,Attchd,1953,2,418,2009,Normal,167000
296,7937,Mitchel,1Fam,SLvl,1984,1984,1003,3,1,TA,0,NA,Detchd,1984,2,588,2006,Normal,142500
297,13710,IDOTRR,1Fam,1.5Fin,1950,1950,1558,4,1,TA,0,NA,Attchd,1950,1,282,2007,Normal,152000
298,7399,Somerst,1Fam,2Story,1997,1998,1950,3,1,Gd,1,TA,Detchd,1997,2,576,2007,Normal,239000
299,11700,NWAmes,1Fam,2Story,1968,1968,1743,3,1,TA,1,Gd,Attchd,1968,2,539,2007,Normal,175000
300,14000,Crawfor,1Fam,1Story,1950,2004,1152,3,1,Gd,1,Gd,Attchd,1950,1,300,2009,Family,158500
301,15750,Crawfor,2fmCon,1Story,1953,1953,1336,2,1,TA,2,Gd,Attchd,1953,1,375,2006,Normal,157000
302,16226,CollgCr,1Fam,2Story,1998,1999,2452,4,1,Gd,1,TA,BuiltIn,1998,2,683,2007,Normal,267000
303,13704,CollgCr,1Fam,1Story,2001,2002,1541,3,1,Gd,1,TA,Attchd,2001,3,843,2006,Normal,205000
304,9800,CollgCr,1Fam,1Story,1972,1972,894,3,1,TA,0,NA,Attchd,1975,2,552,2006,Abnorml,149900
305,18386,OldTown,1Fam,2.5Fin,1880,2002,3493,3,1,Gd,1,Ex,Attchd,2003,3,870,2008,Normal,295000
306,10386,CollgCr,1Fam,1Story,2004,2005,2000,3,1,Gd,0,NA,Attchd,2004,3,888,2007,Normal,305900
307,13474,SawyerW,1Fam,2Story,1990,1991,2243,4,1,Gd,1,TA,Attchd,1990,3,746,2007,Normal,225000
308,7920,IDOTRR,1Fam,1.5Fin,1920,1950,1406,3,1,Fa,0,NA,NA,NA,0,0,2008,Normal,89500
309,12342,Edwards,1Fam,1Story,1940,1950,861,1,1,TA,0,NA,Detchd,1961,2,539,2009,Normal,82500
310,12378,NridgHt,1Fam,1Story,2003,2004,1944,3,1,Ex,3,Ex,Attchd,2003,3,708,2006,Normal,360000
311,7685,Gilbert,1Fam,2Story,1993,1994,1501,3,1,Gd,1,TA,Attchd,1993,2,420,2006,Normal,165600
312,8000,NAmes,1Fam,1Story,1948,2002,972,2,1,TA,1,Gd,Detchd,1948,1,240,2009,Normal,132000
313,7800,OldTown,2fmCon,1.5Fin,1939,1950,1118,3,1,TA,1,Gd,Detchd,1939,2,410,2006,Normal,119900
314,215245,Timber,1Fam,1Story,1965,1965,2036,3,1,TA,2,Gd,Attchd,1965,2,513,2009,Normal,375000
315,9600,OldTown,1Fam,2Story,1925,1990,1641,3,1,Ex,1,Gd,Detchd,1925,2,546,2006,Normal,178000
316,7795,Gilbert,1Fam,2Story,2004,2005,1432,3,1,Gd,1,Gd,Attchd,2004,2,432,2009,Normal,188500
317,13005,NWAmes,1Fam,2Story,1980,1980,2353,4,1,Ex,1,TA,Attchd,1983,2,484,2009,Normal,260000
318,9000,Somerst,1Fam,2Story,2006,2006,1959,3,1,Gd,1,Gd,Attchd,2006,3,1025,2007,Normal,270000
319,9900,NoRidge,1Fam,2Story,1993,1993,2646,4,1,Gd,1,TA,Attchd,1993,3,656,2009,Normal,260000
320,14115,NWAmes,1Fam,SLvl,1980,1980,1472,3,1,TA,2,TA,Attchd,1980,2,588,2009,Normal,187500
321,16259,NridgHt,1Fam,2Story,2006,2006,2596,4,1,Gd,0,NA,Attchd,2006,3,840,2006,Partial,342643
322,12099,NridgHt,1Fam,2Story,2004,2004,2468,4,1,Gd,1,Gd,BuiltIn,2004,3,872,2007,Normal,354000
323,10380,SawyerW,1Fam,2Story,1986,1987,2730,4,1,Gd,1,TA,Attchd,1987,2,576,2007,Normal,301000
324,5820,OldTown,1Fam,1Story,1955,2005,1163,3,1,TA,0,NA,Attchd,1955,1,220,2006,Normal,126175
325,11275,NAmes,1Fam,SLvl,1967,2007,2978,5,1,Gd,1,Gd,BuiltIn,1961,2,564,2010,Normal,242000
326,5000,IDOTRR,1Fam,1.5Unf,1941,1950,803,2,1,TA,0,NA,Detchd,1941,2,360,2007,Normal,87000
327,10846,Veenker,TwnhsE,1Story,1993,1993,1719,1,1,Gd,2,Gd,Attchd,1993,2,473,2008,Normal,324000
328,11600,NAmes,1Fam,1Story,1960,1960,1383,3,1,TA,0,NA,Attchd,1960,1,292,2006,Normal,145250
329,11888,BrkSide,1Fam,2.5Unf,1916,1994,2134,5,1,Gd,0,NA,Detchd,1930,2,441,2009,Normal,214500
330,6402,IDOTRR,1Fam,2Story,1920,1950,1192,3,1,TA,0,NA,Detchd,1920,1,189,2009,Normal,78000
331,10624,NAmes,Duplex,1Story,1964,1964,1728,6,2,TA,0,NA,Detchd,2002,1,352,2007,Normal,119000
332,8176,NAmes,1Fam,1Story,1958,1992,1056,3,1,TA,0,NA,Attchd,1958,1,308,2007,Normal,139000
333,10655,NridgHt,1Fam,1Story,2003,2004,1629,3,1,Gd,1,Gd,Attchd,2003,3,880,2009,Normal,284000
334,8198,NridgHt,TwnhsE,1Story,2004,2004,1358,2,1,Gd,1,Gd,Attchd,2004,2,484,2008,Normal,207000
335,9042,Gilbert,1Fam,2Story,1998,1998,1638,3,1,TA,2,TA,Attchd,1998,2,472,2008,Normal,192000
336,164660,Timber,2fmCon,1.5Fin,1965,1965,1786,3,1,TA,2,Gd,Attchd,1965,2,529,2008,Normal,228950
337,14157,StoneBr,1Fam,1Story,2005,2006,1922,3,1,Gd,1,Gd,Attchd,2005,3,676,2007,Normal,377426
338,9135,CollgCr,1Fam,1Story,2002,2003,1536,3,1,Gd,0,NA,Attchd,2002,2,532,2008,Normal,214000
339,14145,NWAmes,1Fam,1Story,1984,1998,1621,3,1,Gd,0,NA,Attchd,1984,2,440,2006,Normal,202500
340,12400,NAmes,1Fam,1Story,1958,1998,1215,3,1,TA,0,NA,Attchd,1958,1,297,2009,Normal,155000
341,14191,Timber,1Fam,2Story,2002,2002,1908,4,1,Gd,0,NA,Attchd,2002,2,431,2010,Normal,202900
342,8400,SawyerW,1Fam,1Story,1950,1950,841,2,1,TA,0,NA,CarPort,1950,1,294,2009,Normal,82000
343,8544,NAmes,Duplex,1Story,1949,1950,1040,2,2,TA,0,NA,Detchd,1949,2,400,2006,Normal,87500
344,8849,NridgHt,TwnhsE,1Story,2005,2005,1684,2,1,Ex,1,Ex,Attchd,2005,2,564,2008,Normal,266000
345,2592,MeadowV,TwnhsE,2Story,1976,1976,1112,3,1,TA,0,NA,Attchd,1976,1,336,2010,Normal,85000
346,6435,BrkSide,1Fam,1.5Fin,1939,1950,1577,3,1,Fa,1,Gd,Detchd,1939,1,312,2006,Normal,140200
347,12772,NAmes,1Fam,1Story,1960,1998,958,2,1,TA,0,NA,Attchd,1960,1,301,2007,Normal,151500
348,17600,NAmes,1Fam,1Story,1960,1960,1478,3,1,TA,2,Gd,Attchd,1960,2,498,2009,Normal,157500
349,2448,NridgHt,Twnhs,2Story,2003,2004,1626,2,1,Gd,0,NA,BuiltIn,2003,2,474,2008,Normal,154000
350,20431,NridgHt,1Fam,2Story,2005,2006,2728,4,1,Ex,2,Ex,Attchd,2006,3,706,2006,Partial,437154
351,7820,NridgHt,TwnhsE,1Story,2007,2007,1869,2,1,Ex,1,Gd,Attchd,2007,2,617,2007,Partial,318061
352,5271,ClearCr,1Fam,1Story,1986,1986,1453,2,1,Gd,1,TA,Attchd,1986,2,445,2006,Abnorml,190000
353,9084,Edwards,1Fam,1.5Fin,1941,1950,1111,3,1,TA,0,NA,Detchd,1941,1,200,2008,Normal,95000
354,8520,OldTown,1Fam,1Story,1928,2003,720,2,1,TA,0,NA,Detchd,2005,2,484,2010,Normal,105900
355,8400,SWISU,1Fam,1.5Fin,1940,2000,1595,2,1,TA,2,Gd,Attchd,1940,1,240,2006,Normal,140000
356,11249,CollgCr,1Fam,1Story,1995,1995,1200,3,1,Gd,0,NA,Attchd,1995,2,521,2007,Normal,177500
357,9248,Gilbert,1Fam,1Story,1992,1992,1167,3,1,Gd,0,NA,Attchd,1992,2,400,2009,Normal,173000
358,4224,MeadowV,TwnhsE,1Story,1976,1976,1142,3,1,TA,1,Po,Attchd,1976,2,528,2007,Normal,134000
359,6930,ClearCr,1Fam,SLvl,1958,1958,1352,3,1,Gd,0,NA,BuiltIn,1958,1,288,2006,Abnorml,130000
360,12011,NoRidge,1Fam,2Story,1998,1998,1924,3,1,Gd,1,TA,Attchd,1998,2,592,2006,Normal,280000
361,7540,Mitchel,1Fam,SFoyer,1978,1978,912,2,1,TA,1,TA,Attchd,1978,2,470,2007,Normal,156000
362,9144,BrkSide,1Fam,1.5Fin,1940,1982,1505,3,1,TA,0,NA,Detchd,1940,1,240,2008,Normal,145000
363,7301,Edwards,1Fam,SFoyer,2003,2003,1922,4,1,Gd,1,Ex,BuiltIn,2003,2,672,2009,Normal,198500
364,1680,BrDale,Twnhs,2Story,1972,2007,987,2,1,Gd,0,NA,Detchd,1972,1,264,2009,Normal,118000
365,18800,NWAmes,1Fam,2Story,1976,1976,1574,3,1,TA,1,TA,Attchd,1976,2,566,2006,Normal,190000
366,10690,IDOTRR,1Fam,2Story,1920,1997,1344,3,1,TA,0,NA,Detchd,1964,1,468,2009,Normal,147000
367,9500,NAmes,1Fam,1Story,1963,1963,1394,3,1,TA,2,Gd,Attchd,1963,2,514,2009,Normal,159000
368,9150,NAmes,1Fam,SLvl,1962,1962,1431,3,1,TA,1,Gd,Basment,1962,1,296,2008,Normal,165000
369,7800,NAmes,1Fam,1Story,1954,1954,1268,2,1,TA,1,Gd,Attchd,1954,1,244,2010,Normal,132000
370,9830,NAmes,1Fam,1Story,1959,2006,1287,3,1,Gd,1,Gd,Detchd,1997,2,576,2010,Normal,162000
371,8121,Gilbert,1Fam,2Story,2000,2000,1664,3,1,TA,1,TA,Attchd,2000,2,460,2006,Normal,172400
372,17120,ClearCr,1Fam,1.5Fin,1959,1959,1588,4,1,TA,1,Gd,Detchd,1991,2,680,2008,Normal,134432
373,7175,SawyerW,TwnhsE,1Story,1984,1984,752,2,1,TA,0,NA,Attchd,1984,1,264,2010,Normal,125000
374,10634,NAmes,1Fam,1Story,1953,1953,1319,3,1,TA,0,NA,Attchd,1953,1,270,2009,Normal,123000
375,8200,CollgCr,1Fam,2Story,2003,2004,1928,4,1,Gd,1,Gd,BuiltIn,2003,2,434,2007,Normal,219500
376,10020,Edwards,1Fam,1Story,1922,1950,904,1,1,Fa,0,NA,NA,NA,0,0,2009,Normal,61000
377,8846,CollgCr,1Fam,SFoyer,1996,1996,914,2,1,TA,0,NA,Detchd,1998,2,576,2006,Normal,148000
378,11143,Somerst,1Fam,2Story,2004,2005,2466,4,1,Gd,1,Gd,Attchd,2004,2,610,2007,Normal,340000
379,11394,StoneBr,1Fam,1Story,2010,2010,1856,1,1,Ex,1,Ex,Attchd,2010,3,834,2010,Partial,394432
380,8123,Gilbert,1Fam,2Story,2000,2000,1800,3,1,TA,1,TA,Attchd,2000,2,463,2009,Normal,179000
381,5000,SWISU,1Fam,1.5Fin,1924,1950,1691,3,1,Gd,1,Gd,Detchd,1924,1,308,2010,Normal,127000
382,7200,Somerst,1Fam,1Story,2006,2006,1301,2,1,Gd,1,Gd,Attchd,2006,2,572,2006,Partial,187750
383,9245,CollgCr,1Fam,2Story,2006,2006,1797,3,1,Gd,0,NA,Attchd,2006,2,639,2007,Normal,213500
384,9000,SawyerW,1Fam,1.5Unf,1928,1950,784,2,1,TA,0,NA,Detchd,1950,2,360,2009,Normal,76000
385,53107,ClearCr,1Fam,2Story,1992,1992,1953,3,1,Gd,2,Fa,Attchd,1992,2,501,2007,Normal,240000
386,3182,Blmngtn,TwnhsE,1Story,2004,2005,1269,2,1,Gd,1,TA,Attchd,2004,2,430,2010,Normal,192000
387,8410,Edwards,1Fam,1.5Fin,1910,1996,1184,5,1,TA,0,NA,NA,NA,0,0,2006,AdjLand,81000
388,7200,Edwards,1Fam,SLvl,1976,1976,1125,3,1,TA,1,Fa,Detchd,1977,1,352,2009,Abnorml,125000
389,9382,CollgCr,1Fam,1Story,1999,2000,1479,3,1,Gd,0,NA,Attchd,1999,2,577,2008,Normal,191000
390,12474,NridgHt,1Fam,2Story,2007,2008,2332,3,1,Ex,1,Ex,BuiltIn,2008,3,846,2008,Partial,426000
391,8405,Edwards,1Fam,1.5Fin,1900,1950,1367,4,1,TA,0,NA,Detchd,1978,1,384,2008,Normal,119000
392,12209,Mitchel,1Fam,2Story,2001,2002,1961,3,1,Gd,1,TA,BuiltIn,2001,2,560,2009,Normal,215000
393,8339,NAmes,1Fam,1Story,1959,1959,882,3,1,TA,0,NA,Attchd,1959,1,294,2007,Normal,106500
394,7446,BrkSide,1Fam,1Story,1941,1950,788,2,1,TA,2,TA,NA,NA,0,0,2006,Abnorml,100000
395,10134,OldTown,1Fam,1.5Fin,1940,1950,1034,2,1,TA,0,NA,Detchd,1940,1,240,2007,Normal,109000
396,9571,Edwards,1Fam,1Story,1956,1956,1144,3,1,TA,0,NA,Attchd,1956,1,596,2010,Normal,129000
397,7200,CollgCr,1Fam,1Story,1972,1972,894,2,1,TA,0,NA,Detchd,1985,2,600,2009,Normal,123000
398,7590,NAmes,1Fam,2Story,1962,1962,1812,4,1,TA,1,TA,Attchd,1962,1,264,2007,Normal,169500
399,8967,IDOTRR,1Fam,1Story,1920,1950,1077,2,1,TA,0,NA,Detchd,1920,1,338,2007,Abnorml,67000
400,8125,Somerst,1Fam,2Story,2006,2007,1550,2,1,Gd,0,NA,Attchd,2007,2,438,2009,Normal,241000
401,14963,Veenker,TwnhsE,1Story,1996,1996,1288,1,1,Ex,2,Gd,Attchd,1996,2,500,2008,Normal,245500
402,8767,CollgCr,1Fam,1Story,2005,2005,1310,3,1,Gd,1,Gd,Attchd,2005,2,400,2006,Partial,164990
403,10200,Sawyer,1Fam,1Story,1940,1997,672,2,1,TA,0,NA,Detchd,1940,1,240,2008,Normal,108000
404,12090,NoRidge,1Fam,2Story,1998,1998,2263,4,1,Gd,1,TA,BuiltIn,1998,2,420,2006,Abnorml,258000
405,10364,Gilbert,1Fam,2Story,1995,1996,1572,3,1,TA,1,TA,BuiltIn,1995,2,373,2007,Normal,168000
406,9991,Sawyer,1Fam,1Story,1976,1993,1620,3,1,TA,1,TA,Attchd,1993,2,490,2009,Normal,150000
407,10480,SWISU,1Fam,1.5Fin,1936,1950,1639,3,1,TA,0,NA,Detchd,1936,1,240,2008,Normal,115000
408,15576,Crawfor,1Fam,2Story,1915,1976,1680,4,1,TA,0,NA,Attchd,1960,1,308,2008,Normal,177000
409,14154,NridgHt,1Fam,2Story,2006,2006,2172,3,1,Gd,1,Gd,Attchd,2006,3,947,2007,Partial,280000
410,10800,Somerst,1Fam,2Story,2007,2008,2078,3,1,Ex,1,Gd,Attchd,2008,3,836,2008,Partial,339750
411,9571,Edwards,1Fam,1Story,1958,1958,1276,3,1,TA,0,NA,Attchd,1958,1,350,2009,Abnorml,60000
412,34650,Gilbert,2fmCon,1Story,1955,1955,1056,3,1,TA,0,NA,Attchd,1955,2,572,2006,Normal,145000
413,4403,Somerst,1Fam,1Story,2009,2009,1478,2,1,Gd,1,Gd,Attchd,2009,2,484,2010,Partial,222000
414,8960,OldTown,1Fam,1Story,1927,1950,1028,2,1,TA,1,Gd,Detchd,1927,2,360,2010,Normal,115000
415,11228,SawyerW,1Fam,2Story,1993,1993,2097,3,1,Gd,1,TA,Attchd,1993,3,678,2008,Normal,228000
416,8899,Gilbert,1Fam,1Story,2007,2007,1340,3,1,Gd,0,NA,Attchd,2007,2,396,2007,Partial,181134
417,7844,Sawyer,1Fam,2Story,1978,1978,1400,3,1,TA,1,TA,Attchd,1978,2,440,2006,Normal,149500
418,22420,Crawfor,1Fam,2Story,1918,1950,2624,4,1,TA,1,Gd,Detchd,1918,3,864,2007,Normal,239000
419,8160,Edwards,1Fam,1.5Fin,1940,1950,1134,3,1,TA,0,NA,Detchd,1940,1,240,2007,AdjLand,126000
420,8450,NAmes,1Fam,1Story,1968,1968,1056,3,1,TA,1,Fa,Attchd,1968,1,304,2010,Normal,142000
421,7060,Mitchel,Duplex,SFoyer,1997,1998,1344,2,2,TA,0,NA,Attchd,1997,4,784,2008,Alloca,206300
422,16635,NWAmes,1Fam,1Story,1977,2000,1602,3,1,Gd,1,TA,Attchd,1977,2,529,2009,Normal,215000
423,21750,Mitchel,1Fam,1Story,1954,1954,988,2,1,TA,0,NA,Attchd,1954,2,520,2008,Normal,113000
424,9200,NoRidge,1Fam,2Story,1998,1998,2630,4,1,Gd,1,TA,Attchd,1998,3,696,2008,Normal,315000
425,9000,NAmes,1Fam,1Story,1956,1956,1196,2,1,TA,1,Gd,Attchd,1956,1,297,2008,Normal,139000
426,3378,OldTown,1Fam,2Story,1946,1992,1389,3,1,TA,2,Gd,Detchd,1947,1,240,2009,Normal,135000
427,12800,SawyerW,1Fam,SLvl,1989,1989,1644,2,1,Gd,1,TA,Attchd,1989,2,569,2009,Normal,275000
428,8593,NAmes,1Fam,1Story,1957,1957,907,3,1,TA,0,NA,Detchd,1964,1,352,2008,Normal,109008
429,6762,CollgCr,1Fam,1Story,2007,2007,1208,2,1,Gd,0,NA,Attchd,2007,2,628,2007,Partial,195400
430,11457,Timber,1Fam,1Story,1988,1988,1412,3,1,Gd,1,TA,Attchd,1988,2,576,2009,Normal,175000
